Year,pmi
2005.0833484965653,55.710923328893344
2005.1615339125688,54.99419823121488
2005.1849895373698,54.127840448953975
2005.216263703771,53.17995680933224
2005.2537927034525,52.0812302909448
2005.333541827776,51.29451626594271
2005.4273643269798,52.42957915100588
2005.5211868261838,52.70162469516572
2005.5946811172269,53.101374358013324
2005.6254340475214,54.49586800812109
2005.6541020333893,56.16760938306287
2005.7244689077922,57.098752639424134
2005.8182914069962,56.74562026733903
2005.8964768229996,55.56680714460996
2005.9746622390028,55.1083077079892
2006.0684847382067,55.529852319077165
2006.1623072374107,54.714631921941454
2006.2561297366146,54.830382987040046
2006.3264966110175,53.76367507627076
2006.3890449438202,52.703743489398235
2006.4453384433425,52.52448204438603
2006.5375972342263,53.390442791331296
2006.6157826502297,53.12221489443724
2006.6861495246326,52.084727255840264
2006.7643349406358,51.21238722031388
2006.8503388982394,50.71381394034417
2006.9285243142426,51.023196074763376
2007.0145282718463,50.1683166852816
2007.0949475568782,51.37162456003885
2007.1787176454532,51.237862380518465
2007.2569030614566,52.461227446839246
2007.3507255606605,52.590569336204034
2007.4445480598642,52.550025922241396
2007.5227334758677,51.94202741869249
2007.6009188918708,51.0554170176866
2007.6947413910748,51.09641854932113
2007.7885638902787,50.838421947099384
2007.866749306282,49.89405054296216
2007.937116180685,49.486497609103296
2008.009046763408,49.763926035907886
2008.0465757630895,48.630542915641655
2008.101305554292,47.95113531998625
2008.1951280534959,48.54256523440165
2008.2889505526998,48.87576948775936
2008.3827730519035,49.46719940217476
2008.4765955511075,49.970288958859896
2008.5625995087112,49.32493477681528
2008.5938736751125,48.278517661263635
2008.6220204248737,46.976585414213005
2008.6407849247144,45.716761816503976
2008.6689316744757,44.51404258659656
2008.6876961743164,43.25014174160768
2008.703333257517,42.16291397678479
2008.7189703407178,41.02132291489713
2008.7346074239183,39.906913501541844
2008.750244507119,38.83327656098515
2008.7815186735204,37.827631918232086
2008.819047673202,36.82472071092132
2008.844067006323,35.85711510552454
2008.8753411727243,34.74953928077502
2008.9267201603836,33.727440578306414
2009.0238934631304,35.08287715178703
2009.1177159623344,35.81021530886437
2009.1849554200971,36.92346797509812
2009.2193570031386,38.34854988764844
2009.2584497111404,39.649966752318186
2009.297542419142,40.73393042872883
2009.3288165855433,41.824670429036246
2009.3632181685848,43.284408943465365
2009.391364918346,44.81344539106301
2009.4226390847473,46.33025773211561
2009.4539132511486,47.879688051407086
2009.48518741755,49.37815277970032
2009.5164615839512,50.782614306819056
2009.5477357503526,52.12025428129566
2009.585264750034,53.36390632518682
2009.6493767911568,54.342602195890706
2009.7197436655597,55.331506455383305
2009.7666549151616,55.54567646699384
2009.8526588727652,54.82557275148516
2009.9230257471681,55.60721694091829
2009.991828913251,56.68377819928058
2010.0246667879724,56.78986679914948
2010.0950336623753,56.38231386529061
2010.1263078287766,57.510428632330054
2010.1776868164359,58.461911767945246
2010.274860119183,58.25828664346099
2010.3452269935858,57.90509700666689
2010.4155938679887,56.72966250176805
2010.5015978255924,56.733949719647526
2010.587601783196,57.57271354747134
2010.6814242824,56.84583350806589
2010.775246781604,57.681898259272785
2010.8690692808077,57.63455943317705
2010.9472546968111,58.16819016798847
2011.0254401128143,59.102750218652616
2011.1192626120182,59.2592737565498
2011.2130851112222,58.946913857263276
2011.2678149024246,57.638930639296376
2011.283451985625,56.41239692574499
2011.3147261520264,55.3557866919937
2011.3225446936267,53.79625869568423
2011.3392987113418,54.49816859508054
2011.4172359196752,55.710530959591026
2011.471096984033,53.98009749976811
2011.5258267752354,53.049259655188095
2011.6196492744393,52.961148356293776
2011.7134717736433,52.2954270260862
2011.807294272847,52.125770781594724
2011.901116772051,52.921063060003036
2011.994939271255,52.86013340964111
2012.0887617704589,52.61572763168556
2012.1825842696628,53.23433919463334
2012.2764067688668,53.567543447991056
2012.3467736432697,52.66732313448264
2012.3858663512713,51.59714116470148
2012.4640517672747,50.86342753669028
2012.5578742664786,51.047132723119844
2012.6516967656826,51.917174534992235
2012.7298821816858,51.45527739230491
2012.7846119728881,50.55841660839039
2012.854978847291,49.93341048627241
2012.925345721694,50.74903173637103
2012.9722569712958,51.74127643722119
2013.042623845699,52.74716922704653
2013.1129907201018,52.58425112997916
2013.1599019697037,51.633007960763535
2013.214631760906,50.64101140698564
2013.2928171769092,50.12475096723355
2013.3600566346722,50.74737487745769
2013.3944582177137,51.82385214758011
2013.425732384115,52.74130913849355
2013.4632613837964,53.77294432383208
2013.4882807169174,54.71892677511546
2013.5430105081198,55.728179094534696
2013.6211959241232,56.214241944414425
2013.715018423327,56.41833336724329
2013.8088409225309,56.91462751179533
2013.8948448801345,56.56283513390052
2013.9261190465359,55.56262682085392
2013.9417561297364,54.54675088342856
2013.962605574004,53.4833197865624
2014.004304462539,51.6520580206198
2014.0160322749396,52.63062600014028
2014.1003608307717,54.12630793626586
2014.1997680025472,54.88375369581573
2014.2935905017512,55.5431377315621
2014.3874130009551,55.76761539079025
2014.4734169585588,56.33592181571679
2014.551602374562,57.39211974356338
2014.5880889020302,57.738774840787535
2014.668880498567,56.73325109019789
2014.762702997771,57.75279196899841
2014.8330698721738,57.45396562926909
2014.8643440385752,56.516275107847
2014.9018730382568,55.456282438618224
2014.9464387253786,54.48804501259895
2015.028533412182,53.390786379585215
2015.1067188281854,52.521164508912065
2015.1849042441886,51.64474722610582
2015.2709082017923,52.032295688291974
2015.3569121593957,53.08579453952166
2015.4507346585997,53.18115936822096
2015.5211015330026,52.277541348646
2015.575831324205,51.309328737333956
2015.6540167402081,50.40233209992877
